"id","username","text","sentiment"
"""1055192248370020353""","MiTrenCocha","""Recibimos a estudiantes de Taller de Suelos de @Univalle , #MiTren incentiva la práctica en la formación de profesionales. Día a día apoyamos la construcción de una nueva Bolivia. #JuntosConstruimosMitren""",0
"""1052546541423079424""","puertotejada","""OS REPORTAN A esta hora protesta de estudiantes Univalle desde primeras horas de la mañana ocasiona fuerte congestión vehícular en la Calle 16 con Carrera 100, retrasadas las rutas del MIO. https://www.facebook.com/YoQuieroAPuertoTejada/posts/2009363599156512""",-1
"""1061281807172321280""","yosoycesar2013","""¿Qué dicen @NoticiasRCN @NoticiasCaracol @Noti90Minutos @NoticieroNoti5 @UnivalleCol sobre los disparos que realizó el Esmad dentro de Univalle Melendez con niños y civiles presentes?""",0
"""1047863796566507520""","JPUrdinola","""iQué la Universidad Pública siga siendo el principal motor de ascenso social! #YoSoyUnivalle #UniversidadDelValle #UniValle #EstudiosPolíticos""",1
"""1052574187548626945""","Exbrigadier","""Montense en esta porquería en la mañana y en la tarde y haga un video denunciando la salvajada que hacen con el puto e ignorante pueblo, pueblo sumiso q en vez de apoyar a los de univalle critican a los q quieren dejar de comer """,0
"""1069705383311110144""","radiofarogt","""Entrevista con Adriana González, soprano lírica presentando el Recital Transformando Sueños en Oportunidades, a beneficio del Programa de Becas de Universidad del Valle de Guatemala, a realizarse el jueves 6 de diciembre a las 19:00 horas en el Auditorio del Colegio Americano.""",0
"""1057808628500099073""","HCHTelevDigital","""Suspendidas las clases en la jornada nocturna de la universidad del Valle de Sula https://hch.tv/2018/10/31/suspendidas-las-clases-en-la-jornada-nocturna-de-la-universidad-del-valle-de-sula/""",0
"""1053275521059041280""","fluipe","""despARchand0 UAO/Univalle DEMO experiencia: http://youtu.be/Eg39-LA37EA?a via @YouTube""",0
"""1052549857427247104""","Noti90Minutos","""#Reporte90 Esto es lo que está ocurriendo en el sur de #Cali tras las manifestaciones de los estudiantes de Univalle. A esta hora ya hay presencia del ESMAD. """,0
"""1068647242184167424""","GobValle","""Estas son algunas de las noticias más destacadas en @Gobvalle: -La puesta en funcionamiento de la rehabilitación de la vía Tuluá - La Marina -La reunión de la gobernadora con voceros de Univalle -Lanzamiento de la campaña de prevención de lesiones por pólvora #InformeSemanal""",0
"""1049870172343980033""","bc_mafe","""Julio Ríos conocido como Julio profe, egresado de la universidad del valle #SOSUniversidadesPúblicas #YoMarchoEl10""",0
"""1067511609818603520""","JaimeDinas","""""Realizo 3 secciones de entreno en mi proceso post operatorio con un entrenador personal, voy a dar una gran sorpresa, regresando antes de lo previsto"" Entrevista Personalizada de @11johanmojica con @JaimeDinas en Univalle Estéreo 105.3FM este 26Nov 8pm """,0
"""1052718605832519680""","con_eduardo2017","""Ahora no se si preocuparme mas. Ahora son unos posibles vándalos y con antorchas listas a quemar lo que se les venga en gana. #CaliCo #MarchaUniversitarios #MarchaDeEstudiantes #UniValle #UniversidadPública""",-1
